stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,Wards,Census Tracts,Zip Codes,Community Areas,Historical Wards 2003-2015
1,JACKSON,AUSTIN,126,183.4,150.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87632184', 'longitude': '-87.77410482'}",7,67,22216,26,52
2,JACKSON,MAYFIELD (EXTENDED),126,5.3,0.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87706679', 'longitude': '-87.77131794'}",7,67,22216,26,52
3,JACKSON,MENARD,126,8.3,0.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87695725', 'longitude': '-87.76975039'}",7,67,22216,26,52
4,JACKSON,5700 WEST,126,17.9,3.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87702418', 'longitude': '-87.76745055'}",7,67,22216,26,52
6,JACKSON,LOTUS,126,74.0,11.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.876513', 'longitude': '-87.761446'}",7,68,22216,26,52
7,JACKSON,5351 WEST,126,14.3,2.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87655197', 'longitude': '-87.75892544'}",7,68,22216,26,52
8,JACKSON,LOCKWOOD,126,62.4,14.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.876564', 'longitude': '-87.757313'}",7,68,22216,26,52
9,JACKSON,LARAMIE,126,0.1,0.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87659463', 'longitude': '-87.75461526'}",23,184,22216,26,11
12,JACKSON,LAVERGNE,126,0.0,0.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87662062', 'longitude': '-87.74912362'}",7,69,22216,26,36
13,JACKSON,4849 WEST,126,0.0,0.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87668892', 'longitude': '-87.74701737'}",7,69,22216,26,36
14,JACKSON,CICERO,126,530.5,145.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87676314', 'longitude': '-87.74483066'}",23,69,22216,26,36
15,JACKSON,KILPATRICK,126,51.6,13.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87682975', 'longitude': '-87.74254901'}",23,69,22216,26,36
16,JACKSON,KENTON,126,16.2,8.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87683358', 'longitude': '-87.74058525'}",23,69,22216,26,36
17,JACKSON,KOLMAR,126,17.9,5.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87685748', 'longitude': '-87.73934698'}",23,716,21572,27,36
18,JACKSON,KILBOURN,126,56.4,29.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87688572', 'longitude': '-87.73761421'}",23,716,21572,27,36
19,JACKSON,KOSTNER,126,95.1,28.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87691497', 'longitude': '-87.73515882'}",23,717,21572,27,11
20,JACKSON,KILDARE,126,56.3,31.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.876933', 'longitude': '-87.73265'}",23,717,21572,27,11
21,JACKSON,KEELER,126,49.4,21.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.876963', 'longitude': '-87.7302'}",23,675,21572,27,11
22,JACKSON,KARLOV,126,25.1,36.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.8770066', 'longitude': '-87.72780787'}",23,675,21572,27,11
23,JACKSON,PULASKI,126,239.9,122.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87704003', 'longitude': '-87.72532923'}",23,736,21572,27,11
24,JACKSON,SPRINGFIELD,126,32.1,16.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87706855', 'longitude': '-87.72295441'}",23,736,21572,27,11
25,JACKSON,HAMLIN,126,60.3,54.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87708065', 'longitude': '-87.72082664'}",23,736,21572,27,11
26,JACKSON,CENTRAL PARK,126,40.1,41.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87714182', 'longitude': '-87.7154772'}",23,783,21572,28,11
27,JACKSON,ST. LOUIS,126,13.1,17.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.877181', 'longitude': '-87.713241'}",23,783,21572,28,11
29,JACKSON,SPAULDING,126,9.8,35.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87723116', 'longitude': '-87.70827664'}",23,765,21572,28,11
30,JACKSON,KEDZIE,126,161.5,148.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87725804', 'longitude': '-87.70577393'}",23,737,21184,28,11
31,JACKSON,ALBANY,126,20.1,28.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.877288', 'longitude': '-87.703323'}",23,737,21184,28,11
32,JACKSON,SACRAMENTO,126,54.8,34.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.877318', 'longitude': '-87.700867'}",46,51,21184,28,48
33,JACKSON,FRANCISCO,126,56.7,80.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.877348', 'longitude': '-87.69841'}",46,51,21184,28,48
34,JACKSON,CALIFORNIA,126,105.4,81.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87737082', 'longitude': '-87.69595515'}",46,38,21184,28,48
35,JACKSON,WASHTENAW,126,30.8,16.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87739943', 'longitude': '-87.69355299'}",23,38,21184,28,11
36,JACKSON,2609 WEST alley,126,8.4,8.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.8774236', 'longitude': '-87.69165753'}",23,38,21184,28,11
38,JACKSON,WESTERN,126,81.3,97.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.877478', 'longitude': '-87.686093'}",46,766,21184,29,48
39,JACKSON,OAKLEY,126,26.6,148.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.877496', 'longitude': '-87.683652'}",46,89,21184,29,48
40,JACKSON,LEAVITT,126,36.1,20.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87754396', 'longitude': '-87.68127094'}",46,89,21184,29,48
41,JACKSON,HOYNE,126,32.0,85.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87739502', 'longitude': '-87.67873587'}",46,89,21184,29,48
42,JACKSON,DAMEN,126,60.7,92.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.877421', 'longitude': '-87.67667235'}",46,89,21184,29,48
44,DAMEN,CONGRESS,"50,126",50.7,38.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87513747', 'longitude': '-87.67664239'}",46,89,21184,29,48
