,Country / Dependency,Population,% of world,Date,Source (official or from the United Nations)
0,World,8071066000,100.0,11 Nov 2023,UN projection
1,China,1411750000,17.491493688689946,31 Dec 2022,Official estimate
2,India,1392329000,17.250868720439158,1 Mar 2023,Official projection
3,United States,335614000,4.158236346970772,11 Nov 2023,National population clock
4,Indonesia,279118866,3.4582651907443207,1 Jul 2023,National annual projection
5,Pakistan,241499431,2.9921627576828143,1 Mar 2023,2023 census result
6,Nigeria,216783400,2.6859326884453676,21 Mar 2022,Official projection
7,Brazil,203062512,2.515931749288136,1 Aug 2022,2022 census result
8,Bangladesh,169828911,2.104169523579661,14 Jun 2022,2022 census result
9,Russia,146424729,1.8141931809255432,1 Jan 2023,Official estimate
10,Mexico,129202482,1.6008106240241375,30 Jun 2023,National quarterly estimate
11,Japan,124340000,1.5405647779363965,1 Oct 2023,Official estimate
12,Philippines,110748000,1.3721607529909927,11 Nov 2023,National population clock
13,Ethiopia,107334000,1.3298615077611804,1 Jul 2023,National annual projection
14,Egypt,105538000,1.3076091807451458,11 Nov 2023,National population clock
15,Vietnam,100000000,1.2389937091333412,Apr 2023,Official estimate
16,DR Congo,95370000,1.1816283004004675,1 Jul 2019,Official figure
17,Iran,85362400,1.0576347659652392,11 Nov 2023,National population clock
18,Turkey,85279553,1.0566082968470336,31 Dec 2022,Official estimate
19,Germany,84482267,1.0467299734632327,30 Jun 2023,National quarterly estimate
20,Thailand,68263022,0.8457745482443088,1 Jul 2021,Official estimate
21,France,68184000,0.8447954706354774,1 Sep 2023,Monthly national estimate
22,United Kingdom,67026292,0.8304515413453439,30 Jun 2021,Official estimate
23,South Africa,62027503,0.7685168601024945,2 Feb 2022,2022 census result
24,Tanzania,61741120,0.7649685927484672,23 Aug 2022,2022 census result
25,Italy,58780965,0.7282924585178712,31 Jul 2023,Monthly national estimate
26,Myanmar,55770232,0.6909896660490696,1 Jul 2022,National annual projection
27,Colombia,52215503,0.6469467973623311,30 Jun 2023,Official projection
28,Kenya,51526000,0.6384038985680454,1 Jan 2023,Official projection
29,South Korea,51439038,0.6373264448587089,31 Dec 2022,Official estimate
30,Spain,48345223,0.5989942716364852,1 Jul 2023,Official estimate
31,Argentina,46654581,0.5780473236125191,1 Jul 2023,National annual projection
32,Algeria,45400000,0.5625031439465369,1 Jan 2022,Official estimate
33,Iraq,43324000,0.5367816345449288,1 Jul 2023,Official estimate
34,Uganda,42885900,0.5313536031052156,1 Jul 2021,Official projection
35,Sudan,41984500,0.5201853138110877,1 Jul 2018,Official projection
36,Ukraine,41130432,0.5096034650193667,1 Feb 2022,National monthly estimate
37,Canada,40097761,0.49680873629332234,1 Oct 2023,National quarterly estimate
38,Poland,37691000,0.46698911890944766,31 Jul 2023,National monthly estimate
39,Morocco,37148800,0.46027129501852665,11 Nov 2023,National population clock
40,Uzbekistan,36599764,0.45346877351764936,1 Oct 2023,National quarterly estimate
41,Afghanistan,34262840,0.4245144321704221,1 Jan 2023,Official estimate
42,Peru,33396698,0.4137829872782604,1 Jul 2022,National annual projection
43,Malaysia,33379500,0.4135699051401636,30 Jun 2023,National quarterly estimate
44,Angola,33086278,0.4099369030063687,30 Jun 2022,National annual projection
45,Mozambique,32419747,0.40167862584694514,1 Jul 2022,National annual projection
46,Saudi Arabia,32175224,0.398649001259561,10 May 2022,2022 census result
47,Yemen,31888698,0.3950989621445296,1 Jul 2022,Official estimate
48,Ghana,30832019,0.3820067758087965,27 Jun 2021,2021 census result
49,Ivory Coast,29389150,0.36412971966776136,14 Dec 2021,2021 census result
50,Nepal,29164578,0.36134728671528643,25 Nov 2021,2021 census result
51,Venezuela,28302000,0.35065999955891825,30 Jun 2019,Official projection
52,Cameroon,28088845,0.3480190225182151,1 Jul 2023,National annual projection
53,Madagascar,26923353,0.3335786499577627,1 Jul 2021,National annual projection
54,Australia,26849500,0.3326636159337565,11 Nov 2023,National population clock
55,North Korea,25660000,0.31792578576361535,1 Jul 2021,National annual projection
56,Niger,25369415,0.31432545589393024,1 Jul 2023,National annual projection
57,Taiwan,23399654,0.28992024101896824,31 Aug 2023,Official estimate
58,Syria,22923000,0.28401452794463583,1 Jul 2021,Official estimate
59,Mali,22395489,0.27747869983964946,15 Jun 2022,2022 census result
60,Burkina Faso,22185654,0.2748788573900895,1 Jul 2022,National projection
61,Sri Lanka,22037000,0.2730370436817144,1 Jul 2023,Official estimate
62,Malawi,21507723,0.2664793349478247,1 Jul 2022,National annual projection
63,Chile,19960889,0.2473141589970891,30 Jun 2023,National annual projection
64,Kazakhstan,19944726,0.24711390044388187,1 Sep 2023,National quarterly estimate
65,Zambia,19610769,0.24297619422267144,14 Sep 2022,2022 census result
66,Romania,19051562,0.23604765467163816,1 Jan 2023,Official estimate
67,Senegal,18275743,0.22643530606737697,1 Jul 2023,National annual projection
68,Somalia,18143379,0.2247953244342197,1 Jul 2023,UN projection
69,Netherlands,17958700,0.22250716324212935,11 Nov 2023,National population clock
70,Guatemala,17602431,0.2180930127445371,1 Jul 2023,National annual projection
71,Chad,17414717,0.21576724809337453,1 Jul 2022,National annual projection
72,Cambodia,17091464,0.21176216375878973,1 Jul 2023,Official projection
73,Ecuador,16938986,0.2098729709309774,1 Oct 2022,2022 census result
74,Zimbabwe,15178979,0.18806659492067096,20 Apr 2022,2022 census result
75,Guinea,13261638,0.16431086054803665,1 Jul 2022,National annual projection
76,South Sudan,13249924,0.16416572482494876,1 Jul 2020,National annual projection
77,Rwanda,13246394,0.16412198834701636,15 Aug 2022,2022 census result
78,Burundi,12837740,0.1590587909948946,1 Jul 2022,National annual projection
79,Benin,12606998,0.15619991213056614,1 Jul 2023,National annual projection
80,Bolivia,12006031,0.14875396880659877,1 Jul 2022,National annual projection
81,Tunisia,11850232,0.14682362899770612,1 Jan 2023,National estimate
82,Papua New Guinea,11781559,0.145972774847833,1 Jul 2021,National estimate
83,Belgium,11772639,0.14586225660897828,1 Aug 2023,Official estimate
84,Haiti,11743017,0.14549524189245883,1 Jul 2020,National annual projection
85,Jordan,11504600,0.14254127026095437,11 Nov 2023,National population clock
86,Cuba,11089511,0.1373983436636499,31 Dec 2022,Official estimate
87,Czech Republic,10873553,0.1347226376292797,30 Jun 2023,Official estimate
88,Dominican Republic,10760028,0.13331607002098608,10 Nov 2022,2022 census result
89,Sweden,10548336,0.13069321945824752,1 Aug 2023,Monthly national estimate
90,Greece,10482487,0.1298773544907203,22 Oct 2021,2021 census result
