NAME,OUTLET TYPE,STREET ADDRESS,PHONE NUMBER,PAYMENTS ACCEPTED,FARE MEDIA AVAILABLE,LAT,LON,CITY,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
103rd & Halsted Currency,Currency Exchange,801 W. 103rd Street,773-233-6068,Varies,Purchase Transit Cards and Passes.,41.706917,-87.642894,Chicago,"{'latitude': '41.7074594230005', 'longitude': '-87.60387686299964', 'human_address': '{""address"": ""801 103rd Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}'}",19,47,21861,254,43,30
103rd & Michigan Currency,Currency Exchange,10251 S. Michigan Avenue,773-928-1850,Varies,Purchase Transit Cards and Passes.,41.707496,-87.620166,Chicago,"{'latitude': '41.70753026000045', 'longitude': '-87.62015057599967', 'human_address': '{""address"": ""10251 Michigan Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}'}",19,45,21861,570,43,30
103rd & Western C E,Ventra Retail Location,10257 South Western Ave,,Varies,Varies,41.7068154,-87.6430502,Chicago,"{'latitude': '41.70664159500046', 'longitude': '-87.68159527099965', 'human_address': '{""address"": ""10257 Western Ave"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60643""}'}",13,71,22212,629,42,33
#10 Check Agencies,Ventra Retail Location,6321 South King Drive,,Varies,Varies,41.7796,-87.615267,Chicago ,"{'latitude': '41.779580173000454', 'longitude': '-87.61562095399967', 'human_address': '{""address"": ""6321 King Drive"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60637""}'}",60,67,22260,122,4,53
10 Check Currency,Currency Exchange,6321 S. King Drive,773-493-2769,Varies,Purchase Transit Cards and Passes.,41.7795,-87.615608,Chicago,"{'latitude': '41.779580173000454', 'longitude': '-87.61562095399967', 'human_address': '{""address"": ""6321 King Drive"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60637""}'}",60,67,22260,122,4,53
110th & Halsted C E,Ventra Retail Location,11057 South Halsted,,Varies,Varies,41.692498,-87.642,Chicago ,"{'latitude': '41.69259085400046', 'longitude': '-87.62300715199967', 'human_address': '{""address"": ""11057 Halsted"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60628""}'}",19,45,21861,237,43,30
110th & Halsted Currency,Currency Exchange,11057 S. Halsted Street,773-785-7404,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.692504,-87.642382,Chicago,"{'latitude': '41.692490671000485', 'longitude': '-87.64232048899964', 'human_address': '{""address"": ""11057 Halsted Street"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}'}",19,45,21861,525,22,45
111th & Michigan Currency,Currency Exchange,11055 S. Michigan Avenue,773-264-2433,Varies,Purchase Transit Cards and Passes.,41.692788,-87.62105,Chicago,"{'latitude': '41.69284096400048', 'longitude': '-87.62103091999967', 'human_address': '{""address"": ""11055 Michigan Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60628""}'}",19,45,21861,237,43,30
"111th & Michigan Currency Exchange, Inc.",Ventra Retail Location,11055 S Michigan,,Varies,Varies,41.692984,-87.620548,Chicago,"{'latitude': '41.69259085400046', 'longitude': '-87.62300715199967', 'human_address': '{""address"": ""11055 Michigan"", ""city"": ""Chicago"", ""state"": """", ""zip"": ""60628""}'}",19,45,21861,237,43,30
111th & Western Currency,Currency Exchange,11230 1/2 S. Western Avenue,773-233-3610,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.688905,-87.681065,Chicago,"{'latitude': '41.88106288000046', 'longitude': '-87.68645005999969', 'human_address': '{""address"": ""11230 1 2 S Western Avenue"", ""city"": ""Chicago"", ""state"": ""IL"", ""zip"": ""60643""}'}",28,29,21184,785,46,48
