,Flower,Attribute,Meaning
0,Acacia,rose or white,Secret Love
1,Acacia,yellow,Elegance
2,Abatina ,Abatina ,Fickleness
3,Acanthus,Acanthus,"Art, Immortality, Rebirth"
4,Agrimonia,Agrimonia,"Thankfulness, gratitude"
5,Alcea rosea,Alcea rosea,"Please remember me, epiphany, remembrance, nostalgia"
6,Allium,Allium,"Patience, good fortune, prosperity, unity"
7,Aloe,Aloe,Grief
8,Almond,Almond,Promise
9,Alyssum maritimum,Alyssum maritimum,Immortal love
10,Amaranth (Globe),Amaranth (Globe),"Immortal love, unchangeable"
11,Amaranth,Amaranth,Immortality
12,Amaryllis,Amaryllis,"Love, beauty, and determination; Amaryllis can also represent hope and achievement."
13,Ambrosia,Ambrosia,Love is reciprocated
14,American Cowslip,American Cowslip,You are my divinity
15,Anemone,Anemone,"Forsaken, sickness, anticipation, undying love, eternal peace"
16,Angrec,Angrec,Royalty
17,Anthurium,Anthurium,"Hospitality, happiness, abundance"
18,Apple blossom,Apple blossom,Preference
19,Arborvitae,Arborvitae,Everlasting friendship
20,Arbutus,Arbutus,You are the only one I love
21,Arum,Arum,"Faith, purity"
22,Aspen,Aspen,"Excess of sensibility, fear, lamentation"
23,Asphodel,Asphodel,"Death, the underworld"
24,Aster,Aster,"Symbol of love, daintiness, talisman of love, trusting"
25,Astragalus,Astragalus,Your presence softens my pain
26,Azalea,Azalea,"Take care, temperance, fragile, gratitude, passion, Chinese symbols of womanhood"
27,Baby's breath,Baby's breath,"Innocence, purity of heart"
28,Bachelor's button / Cornflower,Bachelor's button / Cornflower,"Happy or blessed celibacy, good luck, wealth"
29,Balm,Balm,Sympathy
30,Balsam,Balsam,Ardent love
31,Balsamine,Balsamine,Impatience
32,Basil,Basil,Success
33,Bay wreath,Bay wreath,Glory
34,Begonia,Begonia,"Beware, a fanciful nature"
35,Bellflower,Bellflower,Unwavering love
36,Bells of Ireland,Bells of Ireland,Luck
37,Bird's-foot trefoil,Bird's-foot trefoil,Revenge
38,Bird of paradise flower,Bird of paradise flower,"Liberty, magnificence, good perspective, joyfulness, faithfulness (when given by a man to a woman)"
